cycles;flops;flops/cycle
3640127966.000000;1124270080;0.308855
3636357710.000000;1124270080;0.309175
3641424605.000000;1124270080;0.308745
3639580462.000000;1124270080;0.308901
3659334868.000000;1124270080;0.307233
3643753714.000000;1124270080;0.308547
3699979070.000000;1124270080;0.303858
3702653539.000000;1124270080;0.303639
3691291678.000000;1124270080;0.304574
3648302309.000000;1124270080;0.308163
3643843047.000000;1124270080;0.308540
3692119873.000000;1124270080;0.304505
3669262183.000000;1124270080;0.306402
3639929292.000000;1124270080;0.308871
3637368811.000000;1124270080;0.309089
3641655248.000000;1124270080;0.308725
3636399209.000000;1124270080;0.309171
3633240622.000000;1124270080;0.309440
3647163993.000000;1124270080;0.308259
3648206624.000000;1124270080;0.308171
3651214462.000000;1124270080;0.307917
3652857226.000000;1124270080;0.307778
3641863502.000000;1124270080;0.308707
3647456579.000000;1124270080;0.308234
3637674123.000000;1124270080;0.309063
3643678408.000000;1124270080;0.308554
3642242759.000000;1124270080;0.308675
3644664829.000000;1124270080;0.308470
3643530575.000000;1124270080;0.308566
3639857624.000000;1124270080;0.308877
3648249118.000000;1124270080;0.308167
3639113532.000000;1124270080;0.308941
3645524020.000000;1124270080;0.308397
3641458210.000000;1124270080;0.308742
3647230277.000000;1124270080;0.308253
3689305999.000000;1124270080;0.304738
3767217888.000000;1124270080;0.298435
3776492197.000000;1124270080;0.297702
3665970924.000000;1124270080;0.306677
3648217759.000000;1124270080;0.308170
3645793265.000000;1124270080;0.308375
3643618566.000000;1124270080;0.308559
3643373733.000000;1124270080;0.308579
3656643044.000000;1124270080;0.307460
3639285978.000000;1124270080;0.308926
3641529831.000000;1124270080;0.308736
3678657349.000000;1124270080;0.305620
3682002674.000000;1124270080;0.305342
3642159140.000000;1124270080;0.308682
3650394340.000000;1124270080;0.307986
