cycles;flops;flops/cycle
227421060.000000;70303744;0.309135
226714328.000000;70303744;0.310098
227248806.000000;70303744;0.309369
226959770.000000;70303744;0.309763
227950803.000000;70303744;0.308416
227001149.000000;70303744;0.309707
226721218.000000;70303744;0.310089
227108200.000000;70303744;0.309561
227431645.000000;70303744;0.309120
226872270.000000;70303744;0.309882
226910091.000000;70303744;0.309831
227953971.000000;70303744;0.308412
226579907.000000;70303744;0.310282
226982092.000000;70303744;0.309733
230214017.000000;70303744;0.305384
226475905.000000;70303744;0.310425
226558164.000000;70303744;0.310312
226906996.000000;70303744;0.309835
226811039.000000;70303744;0.309966
228176381.000000;70303744;0.308111
226653724.000000;70303744;0.310181
227287509.000000;70303744;0.309316
227425532.000000;70303744;0.309129
226341760.000000;70303744;0.310609
232439742.000000;70303744;0.302460
226499274.000000;70303744;0.310393
226299408.000000;70303744;0.310667
226200483.000000;70303744;0.310803
226922664.000000;70303744;0.309814
232862805.000000;70303744;0.301911
228030835.000000;70303744;0.308308
226639412.000000;70303744;0.310201
226275717.000000;70303744;0.310699
226578440.000000;70303744;0.310284
227461425.000000;70303744;0.309080
226530075.000000;70303744;0.310351
227562712.000000;70303744;0.308942
226747652.000000;70303744;0.310053
226078455.000000;70303744;0.310971
228398316.000000;70303744;0.307812
226174666.000000;70303744;0.310838
226482687.000000;70303744;0.310416
226635894.000000;70303744;0.310206
226765526.000000;70303744;0.310028
231982108.000000;70303744;0.303057
226914314.000000;70303744;0.309825
226673878.000000;70303744;0.310154
226541379.000000;70303744;0.310335
227707704.000000;70303744;0.308746
228039768.000000;70303744;0.308296
